Condicion,Partidos,Victorias,Empates,Derrotas,Goles_Favor,Goles_Contra,Puntos,Pts_PJ,GF_PJ,Pct_Victorias,Pct_Empates,Pct_Derrotas
Local,378,169,121,88,455,323,628,1.6613756613756614,1.2037037037037037,44.70899470899471,32.01058201058201,23.28042328042328
Visitante,378,88,121,169,323,455,385,1.0185185185185186,0.8544973544973545,23.28042328042328,32.01058201058201,44.70899470899471
