Variable,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Pts_PJ_Local,0.48661143612152824,0.008643495201062262,0.2386630119566,0.2213003441376731
Pts_PJ_Visitante,0.49246405892592593,0.007762648724333468,0.29636784549874456,0.1256776475426532
Delta_Pts_PJ,0.08211601043706962,0.6778423001510279,-0.07528059411550544,0.7034058762598966
GF_PJ_Local,0.37110831813718503,0.051864044865609145,0.33836091940227403,0.07820864004206673
Delta_GF_PJ,-0.10484926983799424,0.5954308993698648,-0.10702066611785419,0.5877894844233382
Eficacia_Local_%,0.4866114361215283,0.008643495201062227,0.2386630119566,0.2213003441376731
