GrupoEconomico,Equipos,ValorPromedioM,PtsLocalPromedio,PtsVisitantePromedio,DeltaPtsPromedio,GolesLocalPromedio,EficaciaLocalPromedio
Bajo,10,11.455,1.5401098901098902,0.8840659340659341,0.656043956043956,1.0434065934065935,51.336996336996336
Medio,9,25.865555555555556,1.601953601953602,0.9358974358974359,0.6660561660561661,1.2387057387057387,53.3984533984534
Alto,9,61.65555555555555,1.8571428571428572,1.257020757020757,0.6001221001221002,1.3534798534798536,61.9047619047619
